team,season,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
FLA,20242025,5on5,80,0.55,0.56,0.55,235349.0,2147.63,175.87,136.19,560.81,73.35,1175.29,854.48,168.22,176.64,168.98,1937.0,1039.0,1189.0,4165.0,150.0,237.0,22.0,479.0,1.0,1061.0,1048.0,1787.0,2826.0,288.0,642.0,1813.0,2225.0,336.0,1014.0,2313.0,478.0,185.0,64.02,59.39,52.45,75.0,52.0,23.0,4206.11,2976.0,2996.21,452.0,28.17,47.01,47.59,156.45,157.33,154.33,1790.44,144.13,112.58,457.64,60.53,969.08,728.06,139.21,143.47,138.62,1611.0,861.0,857.0,3329.0,132.0,165.0,16.0,379.0,3.0,802.0,991.0,1479.0,2340.0,270.0,604.0,1811.0,1666.0,301.0,965.0,1916.0,415.0,141.0,52.82,51.4,39.91,57.0,56.0,19.0,3317.4,2472.0,2462.56,494.0,23.34,33.72,33.72,133.75,133.32,131.19
TOR,20242025,5on5,80,0.5,0.47,0.48,237425.0,1900.62,156.8,121.26,477.97,63.17,1025.15,756.66,151.19,158.2,152.55,1748.0,853.0,1000.0,3601.0,164.0,175.0,15.0,364.0,5.0,764.0,1129.0,1584.0,2437.0,255.0,571.0,1837.0,1850.0,315.0,1052.0,1986.0,462.0,153.0,55.09,58.4,43.3,65.0,76.0,23.0,3625.74,2601.0,2620.02,525.0,25.14,34.21,35.02,146.92,148.0,145.82,2014.5,157.38,126.45,523.93,68.53,1106.59,821.12,151.83,157.34,151.8,1790.0,1014.0,1203.0,4007.0,134.0,217.0,21.0,395.0,2.0,891.0,1165.0,1656.0,2670.0,227.0,526.0,1573.0,1606.0,316.0,1019.0,2211.0,436.0,157.0,58.32,54.79,44.27,67.0,49.0,18.0,3980.23,2804.0,2800.36,476.0,26.14,38.57,39.05,144.48,144.45,142.43
MIN,20242025,5on5,81,0.49,0.48,0.48,246098.0,1914.56,151.27,120.99,479.18,64.9,1050.57,794.09,145.43,152.35,146.42,1762.0,899.0,1067.0,3728.0,140.0,189.0,16.0,345.0,6.0,825.0,1156.0,1622.0,2521.0,232.0,544.0,1650.0,1556.0,355.0,1088.0,2063.0,469.0,129.0,56.12,57.69,37.45,68.0,54.0,18.0,3739.93,2661.0,2673.14,533.0,25.04,38.07,38.52,137.81,138.49,136.51,2061.64,155.99,129.77,525.98,69.43,1144.1,835.78,150.48,157.13,151.57,1873.0,989.0,1228.0,4090.0,146.0,175.0,22.0,413.0,5.0,874.0,1249.0,1727.0,2716.0,219.0,516.0,1851.0,1500.0,293.0,1102.0,2268.0,450.0,144.0,61.12,55.17,39.71,63.0,57.0,26.0,4103.43,2862.0,2872.66,494.0,26.72,34.25,34.37,148.29,149.16,146.72
LAK,20242025,5on5,79,0.55,0.53,0.54,236142.0,2073.71,171.76,132.47,527.87,70.31,1120.34,835.24,165.05,173.79,166.99,1799.0,1059.0,1165.0,4023.0,170.0,218.0,31.0,396.0,8.0,920.0,1146.0,1629.0,2688.0,238.0,540.0,1753.0,1581.0,292.0,988.0,2198.0,485.0,175.0,60.4,60.77,50.59,83.0,53.0,34.0,4079.55,2858.0,2896.05,457.0,27.47,46.33,46.82,152.42,154.21,151.92,1778.12,138.98,111.91,452.23,59.99,960.82,724.14,134.67,138.77,134.45,1574.0,875.0,1071.0,3520.0,119.0,163.0,21.0,312.0,6.0,762.0,1087.0,1455.0,2330.0,209.0,469.0,1740.0,1680.0,309.0,996.0,1900.0,430.0,119.0,50.66,53.69,34.63,58.0,42.0,19.0,3486.28,2449.0,2431.25,440.0,23.2,31.03,31.29,130.83,130.38,128.74
OTT,20242025,5on5,80,0.5,0.5,0.5,231668.0,1917.79,154.15,119.77,493.53,65.26,1042.97,768.32,149.11,155.39,150.32,1772.0,872.0,1074.0,3718.0,135.0,180.0,24.0,379.0,6.0,802.0,1142.0,1637.0,2509.0,261.0,578.0,1810.0,1958.0,326.0,902.0,2045.0,433.0,166.0,55.04,53.88,45.23,58.0,45.0,32.0,3741.77,2644.0,2659.39,456.0,24.81,36.06,36.48,142.48,143.19,141.2,1888.31,156.13,118.96,484.5,64.77,1024.64,765.01,149.66,155.96,149.54,1773.0,841.0,1112.0,3726.0,151.0,205.0,29.0,382.0,6.0,775.0,1095.0,1622.0,2463.0,281.0,630.0,1667.0,1853.0,298.0,1054.0,2020.0,424.0,170.0,56.05,53.69,46.4,63.0,53.0,35.0,3715.34,2614.0,2609.21,523.0,24.68,40.71,41.18,139.63,139.41,136.77
WSH,20242025,5on5,80,0.52,0.51,0.51,238929.0,1988.55,179.4,124.8,505.52,67.79,1070.37,803.1,172.22,180.87,173.69,1743.0,1008.0,1104.0,3855.0,188.0,193.0,27.0,375.0,0.0,815.0,1180.0,1555.0,2563.0,256.0,578.0,1749.0,1428.0,302.0,1054.0,2040.0,524.0,187.0,59.02,66.92,53.47,84.0,63.0,41.0,3895.55,2751.0,2779.16,502.0,25.94,41.0,41.0,164.34,165.87,162.99,1901.29,166.59,119.43,476.59,64.43,1009.58,760.36,159.6,166.71,159.76,1664.0,933.0,1154.0,3751.0,156.0,186.0,18.0,353.0,5.0,815.0,1082.0,1508.0,2441.0,241.0,549.0,1700.0,1496.0,298.0,1030.0,1935.0,480.0,182.0,54.44,60.9,51.26,65.0,59.0,32.0,3732.57,2597.0,2591.76,505.0,24.75,39.81,39.69,151.66,151.94,149.46
PHI,20242025,5on5,80,0.53,0.48,0.5,242774.0,1922.22,171.79,128.13,482.38,65.39,1026.06,754.26,164.32,172.53,164.95,1745.0,883.0,983.0,3611.0,164.0,207.0,26.0,367.0,4.0,734.0,1152.0,1581.0,2464.0,223.0,489.0,1791.0,1578.0,350.0,1145.0,1959.0,482.0,187.0,56.49,62.0,53.31,78.0,60.0,26.0,3588.18,2628.0,2622.48,546.0,26.63,43.35,43.51,154.9,154.82,152.42,1892.3,151.43,119.14,475.05,63.19,1028.17,772.02,146.12,153.16,147.76,1706.0,903.0,1288.0,3897.0,190.0,168.0,17.0,338.0,8.0,798.0,1107.0,1516.0,2419.0,227.0,501.0,1704.0,1592.0,364.0,1090.0,2029.0,447.0,133.0,58.43,55.72,37.28,96.0,68.0,26.0,3955.83,2609.0,2645.34,528.0,24.67,34.75,35.11,140.99,142.72,140.51
SEA,20242025,5on5,81,0.46,0.48,0.48,242064.0,1964.88,152.05,123.45,497.71,66.89,1082.52,813.38,147.09,151.41,146.49,1743.0,993.0,1054.0,3790.0,167.0,179.0,18.0,377.0,5.0,894.0,1114.0,1576.0,2569.0,210.0,475.0,1749.0,1615.0,359.0,1035.0,2165.0,447.0,124.0,60.55,56.08,35.43,81.0,64.0,22.0,3749.68,2736.0,2715.47,494.0,25.49,33.94,34.08,143.48,142.7,140.58,2121.43,177.48,136.49,540.82,72.59,1162.26,856.38,170.52,179.86,172.85,1853.0,1093.0,1191.0,4137.0,179.0,227.0,23.0,463.0,9.0,986.0,1082.0,1674.0,2767.0,240.0,523.0,1839.0,1579.0,312.0,1028.0,2267.0,499.0,180.0,64.14,63.02,50.33,82.0,75.0,22.0,4209.19,2946.0,2993.89,489.0,28.3,45.12,45.54,160.24,162.17,159.18
NSH,20242025,5on5,80,0.5,0.51,0.5,235275.0,1932.62,162.01,126.21,485.02,65.37,1054.23,774.16,156.34,161.48,155.83,1784.0,883.0,1130.0,3797.0,124.0,188.0,16.0,414.0,4.0,827.0,1110.0,1660.0,2543.0,251.0,615.0,1807.0,1796.0,332.0,1070.0,2019.0,496.0,152.0,57.43,62.28,42.3,53.0,52.0,19.0,3755.74,2667.0,2650.34,484.0,26.18,36.95,36.62,151.56,151.08,148.64,1950.56,164.43,126.14,488.54,65.19,1050.43,782.27,158.1,165.63,159.31,1822.0,855.0,1023.0,3700.0,184.0,192.0,16.0,365.0,1.0,797.0,1138.0,1638.0,2493.0,252.0,626.0,1737.0,1592.0,380.0,1117.0,2019.0,504.0,154.0,60.02,61.81,42.6,101.0,58.0,25.0,3741.19,2677.0,2701.59,533.0,26.23,36.52,37.19,153.47,154.76,152.0
NYI,20242025,5on5,80,0.5,0.5,0.51,242999.0,2054.66,171.06,132.85,523.2,70.22,1117.81,822.85,164.81,171.06,164.8,1844.0,994.0,1130.0,3968.0,160.0,211.0,23.0,408.0,2.0,933.0,1124.0,1684.0,2678.0,179.0,391.0,1957.0,1707.0,341.0,1077.0,2185.0,483.0,170.0,63.18,61.01,46.88,67.0,69.0,24.0,3957.04,2838.0,2833.24,527.0,27.62,42.73,42.87,155.81,155.7,152.94,2017.64,170.05,129.97,506.95,67.76,1089.3,810.97,163.84,171.08,164.81,1802.0,973.0,1203.0,3978.0,154.0,208.0,14.0,338.0,6.0,927.0,1142.0,1648.0,2621.0,205.0,449.0,1629.0,1644.0,383.0,1086.0,2110.0,499.0,166.0,59.81,63.17,47.07,78.0,60.0,16.0,4002.51,2775.0,2791.53,530.0,26.97,43.12,43.2,153.81,154.7,152.19
