conference,matchup,count,probability,top_seed_win_pct
Western,Winnipeg Jets vs Vegas Golden Knights,1262,12.620000000000001,58.87480190174327
Eastern,Washington Capitals vs Tampa Bay Lightning,1248,12.479999999999999,48.55769230769231
Western,Winnipeg Jets vs Los Angeles Kings,1223,12.23,58.13573180703189
Eastern,Tampa Bay Lightning vs Carolina Hurricanes,1132,11.32,60.24734982332155
Eastern,Washington Capitals vs Toronto Maple Leafs,949,9.49,54.794520547945204
Western,Vegas Golden Knights vs Dallas Stars,937,9.370000000000001,48.45250800426895
Western,Dallas Stars vs Los Angeles Kings,903,9.030000000000001,53.59911406423035
Eastern,Washington Capitals vs Florida Panthers,834,8.34,54.43645083932853
Western,Winnipeg Jets vs Edmonton Oilers,809,8.09,60.69221260815822
Eastern,Toronto Maple Leafs vs Carolina Hurricanes,808,8.08,49.00990099009901
Eastern,Carolina Hurricanes vs Florida Panthers,791,7.91,37.67383059418458
Western,Vegas Golden Knights vs Colorado Avalanche,750,7.5,58.666666666666664
Eastern,Tampa Bay Lightning vs New Jersey Devils,710,7.1,58.732394366197184
Western,Los Angeles Kings vs Colorado Avalanche,705,7.049999999999999,40.42553191489361
Western,Dallas Stars vs Edmonton Oilers,577,5.7700000000000005,55.80589254766031
Eastern,Washington Capitals vs Ottawa Senators,572,5.72,56.11888111888111
Western,Vegas Golden Knights vs St. Louis Blues,487,4.87,59.13757700205339
Eastern,Carolina Hurricanes vs Ottawa Senators,480,4.8,61.25000000000001
Western,Colorado Avalanche vs Edmonton Oilers,476,4.760000000000001,52.73109243697479
Eastern,Toronto Maple Leafs vs New Jersey Devils,474,4.74,53.79746835443038
Eastern,Florida Panthers vs New Jersey Devils,455,4.55,50.32967032967033
Western,Los Angeles Kings vs St. Louis Blues,434,4.34,59.21658986175116
Eastern,Tampa Bay Lightning vs Montréal Canadiens,406,4.06,66.99507389162561
Western,Winnipeg Jets vs Minnesota Wild,389,3.8899999999999997,65.80976863753213
Eastern,Toronto Maple Leafs vs Montréal Canadiens,333,3.3300000000000005,71.17117117117117
Eastern,New Jersey Devils vs Ottawa Senators,333,3.3300000000000005,56.75675675675676
Western,Dallas Stars vs Minnesota Wild,319,3.19,66.77115987460816
Western,Edmonton Oilers vs St. Louis Blues,303,3.0300000000000002,46.864686468646866
Eastern,Florida Panthers vs Montréal Canadiens,291,2.91,59.106529209621996
Western,Colorado Avalanche vs Minnesota Wild,245,2.45,69.38775510204081
Eastern,Ottawa Senators vs Montréal Canadiens,184,1.8399999999999999,44.565217391304344
Western,Minnesota Wild vs St. Louis Blues,181,1.81,44.19889502762431
