conference,division,matchup,count,probability,top_seed_win_pct
Western,P,Vegas Golden Knights vs Los Angeles Kings,3903,39.03,44.22239303100179
Eastern,M,Washington Capitals vs Carolina Hurricanes,3895,38.95,53.1193838254172
Western,C,Winnipeg Jets vs Dallas Stars,3888,38.879999999999995,57.51028806584362
Eastern,A,Toronto Maple Leafs vs Tampa Bay Lightning,3510,35.099999999999994,44.24501424501425
Western,P,Vegas Golden Knights vs Edmonton Oilers,3115,31.15,54.89566613162119
Western,C,Winnipeg Jets vs Colorado Avalanche,2758,27.58,52.46555474981871
Eastern,M,Washington Capitals vs New Jersey Devils,2684,26.840000000000003,57.153502235469446
Eastern,A,Toronto Maple Leafs vs Florida Panthers,2469,24.69,40.94775212636695
Eastern,A,Tampa Bay Lightning vs Ottawa Senators,2335,23.35,65.91006423982869
Eastern,M,Carolina Hurricanes vs Montréal Canadiens,2046,20.46,67.6930596285435
Western,C,Dallas Stars vs St. Louis Blues,1987,19.869999999999997,54.55460493205838
Eastern,A,Florida Panthers vs Ottawa Senators,1686,16.86,54.151838671411625
Western,P,Los Angeles Kings vs Minnesota Wild,1613,16.13,67.45195288282703
Eastern,M,New Jersey Devils vs Montréal Canadiens,1375,13.750000000000002,59.78181818181818
Western,P,Edmonton Oilers vs Minnesota Wild,1369,13.69,55.51497443389335
Western,C,Colorado Avalanche vs St. Louis Blues,1367,13.669999999999998,63.27724945135332
