teamAbbrev,teamName,round_1,round_2,conf_final,final,champion,avg_games_played
WPG,Winnipeg Jets,0.6645,0.3572,0.2119,0.2119,0.132,12.8753
TBL,Tampa Bay Lightning,0.5795,0.3443,0.1953,0.1953,0.104,12.1946
WSH,Washington Capitals,0.6615,0.363,0.1957,0.1957,0.099,12.8047
VGK,Vegas Golden Knights,0.6929,0.343,0.1655,0.1655,0.0891,12.6727
DAL,Dallas Stars,0.588,0.2892,0.1613,0.1613,0.087,11.7374
LAK,Los Angeles Kings,0.5632,0.3357,0.1581,0.1581,0.0831,11.8263
CAR,Carolina Hurricanes,0.5898,0.3156,0.1585,0.1585,0.072,11.8904
COL,Colorado Avalanche,0.412,0.2208,0.1196,0.1196,0.0644,10.0602
FLA,Florida Panthers,0.4205,0.2428,0.1267,0.1267,0.0611,10.3037
TOR,Toronto Maple Leafs,0.5766,0.2461,0.1176,0.1176,0.0458,11.1653
EDM,Edmonton Oilers,0.4368,0.2101,0.0864,0.0864,0.0413,9.9529
NJD,New Jersey Devils,0.4102,0.2014,0.0929,0.0929,0.0395,9.8262
OTT,Ottawa Senators,0.4234,0.1668,0.0699,0.0699,0.0285,9.5662
STL,St. Louis Blues,0.3355,0.1328,0.0567,0.0567,0.0238,8.7989
MIN,Minnesota Wild,0.3071,0.1112,0.0405,0.0405,0.0154,8.4112
MTL,Montréal Canadiens,0.3385,0.12,0.0434,0.0434,0.014,8.6614
