season,division,conference,teamId,teamName,teamAbbrev,teamLogo,clinchIndicator,conferenceAbbrev,conferenceHomeSequence,conferenceL10Sequence,conferenceRoadSequence,conferenceSequence,date,divisionAbbrev,divisionHomeSequence,divisionL10Sequence,divisionRoadSequence,divisionSequence,gameTypeId,gamesPlayed,goalDifferential,goalDifferentialPctg,goalAgainst,goalFor,goalsForPctg,homeGamesPlayed,homeGoalDifferential,homeGoalsAgainst,homeGoalsFor,homeLosses,homeOtLosses,homePoints,homeRegulationPlusOtWins,homeRegulationWins,homeTies,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationPlusOtWins,l10RegulationWins,l10Ties,l10Wins,leagueHomeSequence,leagueL10Sequence,leagueRoadSequence,leagueSequence,losses,otLosses,placeName_default,pointPctg,points,regulationPlusOtWinPctg,regulationPlusOtWins,regulationWinPctg,regulationWins,roadGamesPlayed,roadGoalDifferential,roadGoalsAgainst,roadGoalsFor,roadLosses,roadOtLosses,roadPoints,roadRegulationPlusOtWins,roadRegulationWins,roadTies,roadWins,seasonId,shootoutLosses,shootoutWins,streakCode,streakCount,teamCommonName_default,ties,waiversSequence,wildcardSequence,winPctg,wins,placeName_fr,teamCommonName_fr
20242025,Central,Western,0,Winnipeg Jets,WPG,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,p,W,2,5,1,1,2025-04-15,C,1,3,1,1,2,81,85,1.049383,190,275,3.395062,40,57,80,137,7,4,62,29,25,0,29,10,9,20,29,3,0,14,6,5,0,7,3,8,1,1,22,4,Winnipeg,0.703704,114,0.654321,53,0.530864,43,41,28,110,138,15,0,52,24,18,0,26,20242025,1,2,L,1,Jets,0,32,0,0.679012,55,,
20242025,Metropolitan,Eastern,0,Washington Capitals,WSH,https://assets.nhle.com/logos/nhl/svg/WSH_secondary_light.svg,z,E,3,15,1,1,2025-04-15,M,2,8,1,1,2,80,57,0.7125,226,283,3.5375,41,34,119,153,9,6,58,24,22,0,26,10,-19,45,26,6,1,7,2,2,0,3,7,29,2,2,21,9,Washington,0.68125,109,0.6,48,0.525,42,39,23,107,130,12,3,51,24,20,0,24,20242025,3,2,L,2,Capitals,0,31,0,0.625,50,,
20242025,Pacific,Western,0,Vegas Golden Knights,VGK,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg,y,W,3,1,6,2,2025-04-15,P,2,1,2,1,2,80,54,0.675,213,267,3.3375,41,47,100,147,9,3,61,29,28,0,29,10,7,23,30,2,1,15,7,6,0,7,4,2,8,3,22,9,Vegas,0.66875,107,0.6,48,0.5625,45,39,7,113,120,13,6,46,19,17,0,20,20242025,4,1,W,2,Golden Knights,0,30,0,0.6125,49,,
20242025,Central,Western,0,Dallas Stars,DAL,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,x,W,4,11,4,3,2025-04-15,C,2,5,3,2,2,81,57,0.703704,219,276,3.407407,41,38,103,141,10,3,59,27,22,0,28,10,1,34,35,4,2,10,4,4,0,4,6,19,6,4,25,6,Dallas,0.654321,106,0.592593,48,0.506173,41,40,19,116,135,15,3,47,21,19,0,22,20242025,2,2,L,3,Stars,0,29,0,0.617284,50,,
20242025,Atlantic,Eastern,0,Toronto Maple Leafs,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,x,E,7,1,2,2,2025-04-15,A,4,1,1,1,2,80,32,0.4,228,260,3.25,40,24,101,125,13,1,53,26,22,0,26,10,16,20,36,1,1,17,8,6,0,8,12,1,3,5,26,4,Toronto,0.65,104,0.6125,49,0.5,40,40,8,127,135,13,3,51,23,18,0,24,20242025,2,1,W,3,Maple Leafs,0,28,0,0.625,50,,
20242025,Pacific,Western,0,Los Angeles Kings,LAK,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,x,W,1,3,11,4,2025-04-15,P,1,2,5,2,2,80,47,0.5875,196,243,3.0375,40,63,79,142,5,4,66,30,27,0,31,10,19,18,37,3,0,14,7,7,0,7,1,6,20,6,24,9,Los Angeles,0.64375,103,0.575,46,0.525,42,40,-16,117,101,19,5,37,16,15,0,16,20242025,3,1,W,3,Kings,0,27,0,0.5875,47,,
20242025,Central,Western,0,Colorado Avalanche,COL,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,x,W,5,10,5,5,2025-04-15,C,3,4,4,3,2,82,43,0.52439,234,277,3.378049,41,30,115,145,12,3,55,24,19,0,26,10,5,28,33,4,1,11,3,3,0,5,10,18,7,7,29,4,Colorado,0.621951,102,0.54878,45,0.487805,40,41,13,119,132,17,1,47,21,21,0,23,20242025,3,4,W,1,Avalanche,0,25,0,0.597561,49,,
20242025,Atlantic,Eastern,0,Tampa Bay Lightning,TBL,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,x,E,2,3,6,3,2025-04-15,A,1,3,3,2,2,80,75,0.9375,214,289,3.6125,40,64,92,156,8,4,60,27,26,0,28,10,21,23,44,1,3,15,6,6,0,6,5,4,16,8,26,8,Tampa Bay,0.625,100,0.55,44,0.5,40,40,11,122,133,18,4,40,17,14,0,18,20242025,3,2,W,1,Lightning,0,26,0,0.575,46,,
20242025,Metropolitan,Eastern,0,Carolina Hurricanes,CAR,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,x,E,1,10,10,4,2025-04-15,M,1,4,5,2,2,80,37,0.4625,222,259,3.2375,41,54,101,155,9,1,63,31,29,0,31,10,-2,34,32,5,1,9,4,4,0,4,2,23,21,9,28,5,Carolina,0.61875,99,0.5875,47,0.525,42,39,-17,121,104,19,4,36,16,13,0,16,20242025,3,0,L,1,Hurricanes,0,24,0,0.5875,47,Caroline,
20242025,Pacific,Western,0,Edmonton Oilers,EDM,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg,x,W,6,7,7,6,2025-04-15,P,3,4,3,3,2,81,20,0.246914,236,256,3.160494,41,13,121,134,13,3,53,25,18,0,25,10,-5,29,24,4,0,12,6,5,0,6,13,12,10,10,29,5,Edmonton,0.611111,99,0.580247,47,0.432099,35,40,7,115,122,16,2,46,22,17,0,22,20242025,1,0,L,1,Oilers,0,23,0,0.580247,47,,
