Feature,RF,XGB,LR,Average,Cluster
playoff_performance_score_diff,0.022083333333333365,0.04875,0.023749999999999948,0.03152777777777777,1
xGoalsPercentage_diff,0.0012499999999999955,0.0,0.06916666666666663,0.02347222222222221,1
roadRegulationWin%_diff,0.0,0.0004166666666666652,0.019999999999999973,0.0068055555555555465,1
possTypeAdjGiveawaysPctg_diff,0.0033333333333333214,0.007499999999999974,0.0066666666666666315,0.0058333333333333084,1
PK%_rel_diff,0.0,0.0,0.01208333333333329,0.004027777777777763,1
goalDiff/G_diff,0.003749999999999987,0.007499999999999984,0.0,0.0037499999999999908,1
momentum_score_diff,0.003749999999999987,0.005416666666666648,0.0020833333333332925,0.003749999999999976,1
FO%_diff,0.0,0.012083333333333324,-0.0012500000000000067,0.003611111111111106,1
possAdjTakeawaysPctg_diff,0.0004166666666666652,0.009166666666666646,0.0,0.0031944444444444373,1
adjGoalsScoredAboveX/60_diff,0.0033333333333333214,0.007916666666666638,-0.0020833333333333593,0.0030555555555555336,1
skater_size_diff,0.0004166666666666652,0.008333333333333304,-0.002083333333333348,0.002222222222222207,1
D_size_diff,0.0004166666666666652,0.0008333333333333304,0.0049999999999999715,0.0020833333333333225,1
special_teams_composite_diff,0.0,0.003749999999999987,0.0008333333333333304,0.0015277777777777722,1
reboundxGoalsPctg_diff,0.0,0.005833333333333313,-0.002083333333333326,0.0012499999999999957,1
possAdjHitsPctg_diff,0.0,0.008333333333333304,-0.004583333333333372,0.001249999999999977,1
adjGoalsSavedAboveX/60_diff,0.0,0.0,0.002499999999999958,0.0008333333333333193,1
F_size_diff,0.0016666666666666607,0.00958333333333331,-0.009166666666666712,0.0006944444444444194,1
