conference,matchup,count,probability,top_seed_win_pct
Eastern,Washington Capitals vs Tampa Bay Lightning,18,18.0,50.0
Eastern,Tampa Bay Lightning vs Carolina Hurricanes,15,15.0,46.666666666666664
Eastern,Washington Capitals vs Toronto Maple Leafs,14,14.000000000000002,50.0
Western,Vegas Golden Knights vs Dallas Stars,14,14.000000000000002,50.0
Western,Winnipeg Jets vs Vegas Golden Knights,13,13.0,61.53846153846154
Western,Winnipeg Jets vs Los Angeles Kings,13,13.0,69.23076923076923
Western,Winnipeg Jets vs Edmonton Oilers,12,12.0,66.66666666666666
Western,Vegas Golden Knights vs Colorado Avalanche,12,12.0,75.0
Eastern,Toronto Maple Leafs vs Carolina Hurricanes,10,10.0,50.0
Western,Dallas Stars vs Los Angeles Kings,9,9.0,77.77777777777779
Eastern,Carolina Hurricanes vs Florida Panthers,9,9.0,22.22222222222222
Eastern,Washington Capitals vs Florida Panthers,6,6.0,83.33333333333334
Western,Dallas Stars vs Edmonton Oilers,6,6.0,16.666666666666664
Eastern,Florida Panthers vs Montréal Canadiens,5,5.0,60.0
Eastern,Toronto Maple Leafs vs New Jersey Devils,5,5.0,20.0
Eastern,Tampa Bay Lightning vs New Jersey Devils,4,4.0,50.0
Western,Los Angeles Kings vs Colorado Avalanche,4,4.0,25.0
Eastern,Washington Capitals vs Ottawa Senators,4,4.0,75.0
Eastern,Tampa Bay Lightning vs Montréal Canadiens,4,4.0,50.0
Western,Los Angeles Kings vs St. Louis Blues,3,3.0,66.66666666666666
Western,Winnipeg Jets vs Minnesota Wild,3,3.0,33.33333333333333
Eastern,Florida Panthers vs New Jersey Devils,3,3.0,66.66666666666666
Western,Vegas Golden Knights vs St. Louis Blues,3,3.0,100.0
Western,Colorado Avalanche vs Minnesota Wild,2,2.0,50.0
Western,Colorado Avalanche vs Edmonton Oilers,2,2.0,50.0
Western,Edmonton Oilers vs St. Louis Blues,2,2.0,0.0
Western,Dallas Stars vs Minnesota Wild,2,2.0,100.0
Eastern,New Jersey Devils vs Ottawa Senators,1,1.0,0.0
Eastern,Carolina Hurricanes vs Ottawa Senators,1,1.0,0.0
Eastern,Toronto Maple Leafs vs Montréal Canadiens,1,1.0,100.0
