conference,division,matchup,count,probability,top_seed_win_pct
Eastern,Metropolitan,Washington Capitals vs Carolina Hurricanes,53,53.0,60.37735849056604
Western,Pacific,Vegas Golden Knights vs Los Angeles Kings,45,45.0,55.55555555555556
Western,Central,Winnipeg Jets vs Dallas Stars,42,42.0,59.523809523809526
Eastern,Atlantic,Toronto Maple Leafs vs Tampa Bay Lightning,38,38.0,42.10526315789473
Western,Pacific,Vegas Golden Knights vs Edmonton Oilers,34,34.0,50.0
Eastern,Atlantic,Toronto Maple Leafs vs Florida Panthers,28,28.000000000000004,50.0
Western,Central,Winnipeg Jets vs Colorado Avalanche,27,27.0,59.25925925925925
Eastern,Atlantic,Tampa Bay Lightning vs Ottawa Senators,23,23.0,82.6086956521739
Eastern,Metropolitan,Carolina Hurricanes vs Montréal Canadiens,19,19.0,73.68421052631578
Western,Central,Dallas Stars vs St. Louis Blues,19,19.0,73.68421052631578
Eastern,Metropolitan,Washington Capitals vs New Jersey Devils,18,18.0,55.55555555555556
Western,Pacific,Los Angeles Kings vs Minnesota Wild,12,12.0,75.0
Western,Central,Colorado Avalanche vs St. Louis Blues,12,12.0,75.0
Eastern,Atlantic,Florida Panthers vs Ottawa Senators,11,11.0,81.81818181818183
Eastern,Metropolitan,New Jersey Devils vs Montréal Canadiens,10,10.0,50.0
Western,Pacific,Edmonton Oilers vs Minnesota Wild,9,9.0,55.55555555555556
