teamAbbrev,teamName,round_1,round_2,conf_final,final,champion,avg_games_played
WPG,Winnipeg Jets,0.69,0.41,0.26,0.26,0.18,13.43
VGK,Vegas Golden Knights,0.79,0.42,0.24,0.24,0.14,14.23
WSH,Washington Capitals,0.71,0.42,0.24,0.24,0.13,13.64
DAL,Dallas Stars,0.61,0.31,0.17,0.17,0.08,11.93
FLA,Florida Panthers,0.39,0.23,0.13,0.13,0.08,10.04
TBL,Tampa Bay Lightning,0.61,0.41,0.2,0.2,0.07,12.81
EDM,Edmonton Oilers,0.43,0.22,0.1,0.1,0.06,10.16
COL,Colorado Avalanche,0.39,0.2,0.08,0.08,0.05,9.53
CAR,Carolina Hurricanes,0.72,0.35,0.15,0.15,0.05,12.88
NJD,New Jersey Devils,0.28,0.13,0.07,0.07,0.05,8.64
LAK,Los Angeles Kings,0.57,0.29,0.09,0.09,0.05,11.48
MTL,Montréal Canadiens,0.29,0.1,0.04,0.04,0.03,8.19
STL,St. Louis Blues,0.31,0.08,0.03,0.03,0.02,7.93
TOR,Toronto Maple Leafs,0.66,0.3,0.14,0.14,0.01,11.88
MIN,Minnesota Wild,0.21,0.07,0.03,0.03,0.0,7.71
OTT,Ottawa Senators,0.34,0.06,0.03,0.03,0.0,8.26
