team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
CGY,2024,CGY,CGY,Team Level,other,81,0.47,0.46,0.45,10311.0,145.45,36.16,10.08,25.72,4.85,75.07,51.13,33.21,36.16,33.21,128.0,75.0,85.0,288.0,33.0,3.0,0.0,23.0,3.0,72.0,69.0,95.0,170.0,6.0,12.0,119.0,37.0,17.0,36.0,109.0,38.0,56.0,3.96,4.46,27.74,4.0,5.0,24.0,288.0,203.0,203.0,14.0,2.88,0.54,0.73,38.31,38.31,35.28,181.19,41.6,12.08,31.77,5.8,91.14,61.62,39.12,41.6,39.12,153.0,91.0,90.0,334.0,42.0,17.0,5.0,22.0,1.0,87.0,75.0,111.0,202.0,5.0,10.0,143.0,25.0,18.0,38.0,133.0,50.0,61.0,4.91,6.56,30.12,12.0,5.0,25.0,334.0,244.0,244.0,8.0,3.53,5.74,5.74,39.39,39.39,38.06
CGY,2024,CGY,CGY,Team Level,all,81,0.49,0.51,0.51,296519.0,2577.59,239.22,166.95,651.94,88.94,1412.54,1022.42,227.29,239.41,227.46,2385.0,1197.0,1575.0,5157.0,215.0,229.0,26.0,546.0,11.0,1127.0,1454.0,2170.0,3367.0,286.0,656.0,2292.0,1893.0,432.0,1272.0,2760.0,545.0,277.0,74.67,68.31,96.24,86.0,56.0,73.0,5131.12,3582.0,3576.05,598.0,36.98,45.6,45.6,230.61,230.54,222.72,2518.05,249.47,166.22,614.63,85.29,1356.72,990.74,239.11,251.18,240.73,2341.0,1123.0,1429.0,4893.0,235.0,239.0,29.0,571.0,13.0,1077.0,1329.0,2106.0,3229.0,300.0,676.0,2675.0,1632.0,443.0,1336.0,2552.0,657.0,255.0,73.53,82.7,93.24,78.0,91.0,66.0,4928.82,3464.0,3486.45,633.0,37.2,52.42,52.44,234.17,235.49,230.38
CGY,2024,CGY,CGY,Team Level,5on5,81,0.49,0.52,0.52,242553.0,2067.07,157.49,127.51,547.09,71.66,1134.28,837.97,151.94,157.68,152.12,1897.0,979.0,1290.0,4166.0,135.0,189.0,20.0,460.0,6.0,890.0,1196.0,1762.0,2741.0,259.0,600.0,1782.0,1770.0,377.0,1127.0,2281.0,434.0,161.0,59.53,54.44,43.5,67.0,40.0,28.0,4140.12,2876.0,2870.05,545.0,26.36,35.88,36.27,147.57,147.5,145.25,1958.81,163.56,122.56,502.02,66.38,1055.97,793.59,158.25,165.27,159.88,1826.0,879.0,1177.0,3882.0,142.0,186.0,21.0,469.0,11.0,825.0,1072.0,1684.0,2563.0,276.0,626.0,2104.0,1540.0,372.0,1184.0,2071.0,488.0,146.0,59.01,61.8,42.75,58.0,65.0,19.0,3917.82,2705.0,2727.45,596.0,25.49,39.75,39.77,149.23,150.56,148.39
CGY,2024,CGY,CGY,Team Level,4on5,81,0.09,0.12,0.13,21086.0,49.72,3.85,2.55,7.42,1.63,16.86,35.69,3.81,3.85,3.81,58.0,10.0,18.0,86.0,6.0,1.0,0.0,5.0,0.0,8.0,48.0,52.0,62.0,10.0,20.0,179.0,62.0,18.0,37.0,51.0,17.0,0.0,1.56,2.29,0.0,0.0,6.0,0.0,86.0,68.0,68.0,31.0,0.57,0.16,0.16,4.27,4.27,4.22,330.75,39.63,29.3,74.22,11.67,195.55,103.64,37.2,39.63,37.2,309.0,145.0,155.0,609.0,45.0,34.0,2.0,76.0,1.0,154.0,144.0,264.0,409.0,7.0,14.0,235.0,13.0,22.0,81.0,309.0,101.0,44.0,8.42,12.03,19.18,7.0,17.0,21.0,609.0,454.0,454.0,3.0,7.65,6.55,6.55,40.72,40.72,39.22
CGY,2024,CGY,CGY,Team Level,5on4,81,0.9,0.9,0.88,22569.0,315.34,41.72,26.82,71.7,10.8,186.33,97.63,38.32,41.72,38.32,302.0,133.0,182.0,617.0,41.0,36.0,6.0,58.0,2.0,157.0,141.0,261.0,394.0,11.0,24.0,212.0,24.0,20.0,72.0,319.0,56.0,60.0,9.62,7.11,24.99,15.0,5.0,21.0,617.0,435.0,435.0,8.0,7.18,9.02,8.44,40.46,40.46,37.97,47.29,4.68,2.28,6.61,1.44,14.07,31.9,4.55,4.68,4.55,53.0,8.0,7.0,68.0,6.0,2.0,1.0,4.0,0.0,11.0,38.0,47.0,55.0,12.0,26.0,193.0,54.0,31.0,33.0,39.0,18.0,4.0,1.18,2.32,1.18,1.0,4.0,1.0,68.0,61.0,61.0,26.0,0.52,0.38,0.38,4.82,4.82,4.71
TOR,2024,TOR,TOR,Team Level,other,81,0.51,0.47,0.49,11913.0,168.64,46.79,11.42,28.54,5.81,84.48,54.96,43.27,46.79,43.27,157.0,75.0,67.0,299.0,41.0,19.0,1.0,22.0,0.0,78.0,72.0,116.0,191.0,2.0,6.0,137.0,16.0,17.0,41.0,106.0,52.0,74.0,4.4,6.59,35.8,8.0,6.0,27.0,299.0,232.0,232.0,21.0,3.28,6.32,6.32,43.76,43.76,41.54,173.82,44.21,12.98,30.3,5.83,96.6,50.07,39.28,44.21,39.28,155.0,85.0,94.0,334.0,40.0,15.0,1.0,28.0,0.0,94.0,63.0,115.0,200.0,5.0,18.0,131.0,20.0,16.0,38.0,125.0,54.0,61.0,5.12,6.68,32.42,7.0,8.0,25.0,334.0,240.0,240.0,13.0,3.69,4.91,4.91,43.01,43.01,39.71
TOR,2024,TOR,TOR,Team Level,all,81,0.5,0.47,0.48,293979.0,2476.02,258.77,166.39,590.65,82.57,1329.86,958.75,245.23,260.37,246.77,2278.0,1109.0,1223.0,4610.0,263.0,241.0,27.0,462.0,5.0,1022.0,1394.0,2015.0,3124.0,274.0,614.0,2404.0,1945.0,371.0,1214.0,2464.0,621.0,302.0,70.48,78.01,110.27,86.0,94.0,83.0,4638.69,3387.0,3409.15,604.0,37.21,51.48,51.76,244.23,245.5,237.52,2642.88,263.7,175.72,650.69,89.66,1446.55,1035.68,248.38,263.48,248.17,2372.0,1290.0,1485.0,5147.0,226.0,287.0,27.0,511.0,2.0,1211.0,1425.0,2146.0,3436.0,258.0,599.0,2078.0,1698.0,377.0,1175.0,2733.0,630.0,299.0,75.43,79.1,109.17,83.0,76.0,67.0,5117.28,3662.0,3656.18,528.0,39.06,58.05,58.23,244.53,244.37,236.16
TOR,2024,TOR,TOR,Team Level,5on5,81,0.5,0.47,0.48,240513.0,1931.91,159.17,123.27,485.16,64.2,1043.27,769.94,153.5,160.76,155.05,1776.0,869.0,1010.0,3655.0,167.0,177.0,15.0,370.0,5.0,783.0,1143.0,1609.0,2478.0,257.0,575.0,1862.0,1867.0,321.0,1069.0,2020.0,471.0,154.0,56.16,59.43,43.57,66.0,78.0,23.0,3683.69,2645.0,2667.15,535.0,25.55,34.58,35.39,149.33,150.6,148.36,2042.48,160.17,128.33,530.96,69.7,1121.2,832.64,154.46,159.94,154.25,1816.0,1027.0,1216.0,4059.0,134.0,222.0,21.0,402.0,2.0,901.0,1182.0,1682.0,2709.0,228.0,528.0,1599.0,1618.0,320.0,1035.0,2238.0,445.0,160.0,59.16,56.0,45.01,67.0,49.0,18.0,4029.28,2843.0,2837.18,487.0,26.53,39.54,40.02,146.69,146.53,144.47
TOR,2024,TOR,TOR,Team Level,4on5,81,0.08,0.11,0.13,21597.0,53.12,4.3,2.52,7.92,1.66,17.18,38.42,4.24,4.3,4.24,57.0,15.0,6.0,78.0,5.0,0.0,0.0,7.0,0.0,11.0,49.0,52.0,67.0,7.0,17.0,199.0,45.0,22.0,39.0,54.0,14.0,4.0,1.44,1.83,1.04,4.0,0.0,1.0,78.0,72.0,72.0,37.0,0.59,0.0,0.0,4.89,4.89,4.81,357.18,51.95,30.58,78.12,11.75,206.3,106.31,47.61,51.95,47.61,323.0,162.0,172.0,657.0,47.0,42.0,5.0,76.0,0.0,198.0,122.0,276.0,438.0,19.0,41.0,198.0,18.0,17.0,79.0,307.0,111.0,67.0,9.44,13.56,28.95,9.0,15.0,23.0,657.0,485.0,485.0,7.0,7.96,11.66,11.36,48.55,48.55,45.76
TOR,2024,TOR,TOR,Team Level,5on4,81,0.87,0.86,0.82,19956.0,322.35,48.52,29.18,69.03,10.9,184.93,95.43,44.21,48.52,44.21,288.0,150.0,140.0,578.0,50.0,45.0,11.0,63.0,0.0,150.0,130.0,238.0,388.0,8.0,16.0,206.0,17.0,11.0,65.0,284.0,84.0,70.0,8.48,10.17,29.87,8.0,10.0,32.0,578.0,438.0,438.0,11.0,7.8,10.58,10.05,46.26,46.26,42.81,69.4,7.37,3.82,11.32,2.39,22.45,46.65,7.03,7.37,7.03,78.0,16.0,3.0,97.0,5.0,8.0,0.0,5.0,0.0,18.0,58.0,73.0,89.0,6.0,12.0,150.0,42.0,24.0,23.0,63.0,20.0,11.0,1.72,2.87,2.78,0.0,4.0,1.0,97.0,94.0,94.0,21.0,0.87,1.95,1.95,6.29,6.29,6.23
