team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
FLA,2024,FLA,FLA,Team Level,other,80,0.54,0.59,0.58,12246.0,205.31,43.69,15.1,39.23,7.35,109.08,66.56,36.45,43.69,36.45,180.0,101.0,100.0,381.0,32.0,35.0,2.0,26.0,2.0,104.0,82.0,148.0,249.0,8.0,16.0,144.0,41.0,16.0,35.0,143.0,64.0,74.0,5.44,7.69,30.56,5.0,4.0,23.0,381.0,281.0,281.0,17.0,4.48,10.67,10.77,37.39,37.39,33.89,151.51,36.84,9.99,27.96,4.9,76.28,49.03,33.26,36.84,33.26,148.0,57.0,62.0,267.0,36.0,12.0,1.0,16.0,1.0,72.0,68.0,112.0,169.0,6.0,12.0,135.0,33.0,14.0,43.0,117.0,37.0,51.0,4.26,4.61,27.97,3.0,6.0,27.0,267.0,205.0,205.0,16.0,2.9,3.57,3.57,36.17,36.17,33.54
FLA,2024,FLA,FLA,Team Level,all,80,0.55,0.56,0.55,291200.0,2789.42,281.11,188.37,689.32,95.12,1521.29,1077.77,261.64,281.89,262.41,2535.0,1318.0,1497.0,5350.0,242.0,326.0,34.0,594.0,6.0,1361.0,1324.0,2293.0,3611.0,314.0,697.0,2332.0,2378.0,398.0,1141.0,2838.0,675.0,340.0,80.4,82.88,117.83,87.0,77.0,78.0,5391.11,3853.0,3873.21,505.0,42.19,73.16,73.16,250.15,251.03,241.1,2306.82,229.26,152.68,561.9,77.68,1243.24,905.26,217.36,228.59,216.78,2092.0,1078.0,1054.0,4224.0,213.0,216.0,21.0,457.0,7.0,1030.0,1247.0,1879.0,2957.0,302.0,671.0,2389.0,1787.0,364.0,1115.0,2368.0,546.0,256.0,65.42,67.44,96.4,65.0,76.0,72.0,4212.4,3170.0,3160.56,553.0,34.28,45.99,45.99,217.54,217.11,209.91
FLA,2024,FLA,FLA,Team Level,5on5,80,0.55,0.56,0.55,235349.0,2147.63,175.87,136.19,560.81,73.35,1175.29,854.48,168.22,176.64,168.98,1937.0,1039.0,1189.0,4165.0,150.0,237.0,22.0,479.0,1.0,1061.0,1048.0,1787.0,2826.0,288.0,642.0,1813.0,2225.0,336.0,1014.0,2313.0,478.0,185.0,64.02,59.39,52.45,75.0,52.0,23.0,4206.11,2976.0,2996.21,452.0,28.17,47.01,47.59,156.45,157.33,154.33,1790.44,144.13,112.58,457.64,60.53,969.08,728.06,139.21,143.47,138.62,1611.0,861.0,857.0,3329.0,132.0,165.0,16.0,379.0,3.0,802.0,991.0,1479.0,2340.0,270.0,604.0,1811.0,1666.0,301.0,965.0,1916.0,415.0,141.0,52.82,51.4,39.91,57.0,56.0,19.0,3317.4,2472.0,2462.56,494.0,23.34,33.72,33.72,133.75,133.32,131.19
FLA,2024,FLA,FLA,Team Level,4on5,80,0.1,0.15,0.16,22235.0,59.66,5.04,2.97,9.51,2.07,20.48,43.94,4.9,5.04,4.9,65.0,19.0,12.0,96.0,10.0,6.0,3.0,7.0,0.0,8.0,53.0,55.0,74.0,5.0,10.0,155.0,75.0,28.0,42.0,65.0,15.0,4.0,1.99,1.79,1.26,3.0,5.0,2.0,96.0,84.0,84.0,33.0,0.69,1.33,1.33,4.38,4.38,4.34,318.47,44.07,28.14,69.29,10.73,183.9,95.86,41.37,44.07,41.37,279.0,153.0,129.0,561.0,41.0,34.0,4.0,59.0,3.0,143.0,152.0,238.0,391.0,16.0,32.0,232.0,31.0,19.0,69.0,291.0,83.0,58.0,7.42,10.12,26.54,4.0,11.0,26.0,561.0,432.0,432.0,13.0,7.58,7.34,7.34,44.32,44.32,42.08
FLA,2024,FLA,FLA,Team Level,5on4,80,0.93,0.91,0.89,21370.0,376.79,56.53,34.11,79.77,12.35,216.44,112.8,52.08,56.53,52.08,353.0,159.0,196.0,708.0,50.0,48.0,7.0,82.0,3.0,188.0,141.0,303.0,462.0,13.0,29.0,220.0,37.0,18.0,50.0,317.0,118.0,77.0,8.95,14.01,33.56,4.0,16.0,30.0,708.0,512.0,512.0,3.0,8.85,14.14,13.45,51.92,51.92,48.55,46.4,4.22,1.97,7.01,1.52,13.98,32.31,3.52,4.22,3.52,54.0,7.0,6.0,67.0,4.0,5.0,0.0,3.0,0.0,13.0,36.0,50.0,57.0,10.0,23.0,211.0,57.0,30.0,38.0,44.0,11.0,6.0,0.93,1.31,1.98,1.0,3.0,0.0,67.0,61.0,61.0,30.0,0.45,1.37,1.37,3.3,3.3,3.1
TOR,2024,TOR,TOR,Team Level,other,80,0.51,0.48,0.49,11831.0,167.96,46.14,11.4,28.52,5.79,84.35,54.8,42.62,46.14,42.62,156.0,75.0,67.0,298.0,40.0,19.0,1.0,22.0,0.0,78.0,72.0,116.0,191.0,2.0,6.0,135.0,16.0,17.0,41.0,106.0,52.0,73.0,4.4,6.59,35.15,8.0,6.0,26.0,298.0,231.0,231.0,21.0,3.27,6.32,6.32,43.1,43.1,40.89,170.83,43.63,12.77,29.62,5.71,94.78,49.48,39.01,43.63,39.01,151.0,85.0,90.0,326.0,40.0,14.0,1.0,28.0,0.0,91.0,63.0,111.0,196.0,5.0,18.0,130.0,20.0,16.0,38.0,123.0,53.0,60.0,5.02,6.54,32.07,7.0,8.0,25.0,326.0,236.0,236.0,13.0,3.64,4.56,4.56,42.71,42.71,39.58
TOR,2024,TOR,TOR,Team Level,all,80,0.5,0.47,0.48,290379.0,2441.05,255.69,164.08,582.66,81.42,1309.72,944.43,242.2,257.1,243.56,2246.0,1092.0,1212.0,4550.0,259.0,239.0,27.0,455.0,5.0,1001.0,1379.0,1987.0,3079.0,272.0,610.0,2372.0,1928.0,363.0,1194.0,2426.0,612.0,300.0,69.35,76.99,109.35,85.0,92.0,82.0,4574.74,3338.0,3357.02,592.0,36.71,51.1,51.39,241.02,242.1,234.19,2606.68,259.74,173.2,642.14,88.22,1427.0,1021.69,244.92,259.71,244.89,2337.0,1275.0,1466.0,5078.0,226.0,281.0,27.0,502.0,2.0,1195.0,1406.0,2111.0,3386.0,256.0,595.0,2047.0,1685.0,372.0,1157.0,2701.0,616.0,295.0,74.35,77.31,108.09,83.0,76.0,67.0,5051.23,3612.0,3608.37,517.0,38.51,56.74,56.92,241.33,241.31,233.34
TOR,2024,TOR,TOR,Team Level,5on5,80,0.5,0.47,0.48,237425.0,1900.62,156.8,121.26,477.97,63.17,1025.15,756.66,151.19,158.2,152.55,1748.0,853.0,1000.0,3601.0,164.0,175.0,15.0,364.0,5.0,764.0,1129.0,1584.0,2437.0,255.0,571.0,1837.0,1850.0,315.0,1052.0,1986.0,462.0,153.0,55.09,58.4,43.3,65.0,76.0,23.0,3625.74,2601.0,2620.02,525.0,25.14,34.21,35.02,146.92,148.0,145.82,2014.5,157.38,126.45,523.93,68.53,1106.59,821.12,151.83,157.34,151.8,1790.0,1014.0,1203.0,4007.0,134.0,217.0,21.0,395.0,2.0,891.0,1165.0,1656.0,2670.0,227.0,526.0,1573.0,1606.0,316.0,1019.0,2211.0,436.0,157.0,58.32,54.79,44.27,67.0,49.0,18.0,3980.23,2804.0,2800.36,476.0,26.14,38.57,39.05,144.48,144.45,142.43
TOR,2024,TOR,TOR,Team Level,4on5,80,0.08,0.11,0.13,21382.0,53.12,4.3,2.52,7.92,1.66,17.18,38.42,4.24,4.3,4.24,57.0,15.0,6.0,78.0,5.0,0.0,0.0,7.0,0.0,11.0,49.0,52.0,67.0,7.0,17.0,196.0,45.0,21.0,38.0,54.0,14.0,4.0,1.44,1.83,1.04,4.0,0.0,1.0,78.0,72.0,72.0,36.0,0.59,0.0,0.0,4.89,4.89,4.81,352.67,51.37,30.18,77.4,11.61,203.41,105.01,47.07,51.37,47.07,318.0,161.0,170.0,649.0,47.0,42.0,5.0,74.0,0.0,195.0,121.0,271.0,432.0,18.0,39.0,196.0,17.0,16.0,77.0,305.0,107.0,67.0,9.3,13.12,28.95,9.0,15.0,23.0,649.0,479.0,479.0,7.0,7.87,11.66,11.36,47.88,47.88,45.13
TOR,2024,TOR,TOR,Team Level,5on4,80,0.87,0.86,0.82,19741.0,319.35,48.46,28.9,68.25,10.8,183.04,94.54,44.15,48.46,44.15,285.0,149.0,139.0,573.0,50.0,45.0,11.0,62.0,0.0,148.0,129.0,235.0,384.0,8.0,16.0,204.0,17.0,10.0,63.0,280.0,84.0,70.0,8.42,10.17,29.87,8.0,10.0,32.0,573.0,434.0,434.0,10.0,7.72,10.58,10.05,46.12,46.12,42.67,68.68,7.35,3.79,11.21,2.37,22.21,46.06,7.02,7.35,7.02,78.0,15.0,3.0,96.0,5.0,8.0,0.0,5.0,0.0,18.0,57.0,73.0,88.0,6.0,12.0,148.0,42.0,24.0,23.0,62.0,20.0,11.0,1.7,2.87,2.78,0.0,4.0,1.0,96.0,93.0,93.0,21.0,0.86,1.95,1.95,6.27,6.27,6.21
